company,year,is_financial,sector,revenue,operating_profit,net_income,total_assets,total_liabilities,equity,cash
BGF리테일,2017,0,,938735224712.0,26516479984.0,27983934658.0,1277349524088,888705326553,388644197535,
BGF리테일,2018,0,,5775862323457.0,189516685804.0,154186683020.0,1482568536572,960905506895,521663029677,
BGF리테일,2019,0,,5946068219555.0,196623293754.0,151377053549.0,2172410899706,1549815137631,622595762075,
BGF리테일,2020,0,,6181269419288.0,162204243583.0,122711267434.0,2371169598247,1674341687928,696827910319,
BGF리테일,2021,0,,6781161259022.0,199441703668.0,147642852239.0,2596378756682,1787059387273,809319369409,
BGF리테일,2022,0,,7615769467741.0,252407573570.0,193538863026.0,2946235271626,1983607627851,962627643775,
BGF리테일,2023,0,,8194753978897.0,253187753623.0,195844952003.0,3219078523118,2144625475397,1074453047721,
BGF리테일,2024,0,,8698757469111.0,251641247239.0,195217876198.0,3402590175982,2218457219442,1184132956540,
CJ ENM,2013,0,,2513495629871.0,258209456365.0,166535449023.0,3030942895131,1861772466601,1169170428530,
CJ ENM,2014,0,,2604907441415.0,234441704480.0,105787150953.0,3153682320906,1887270011527,1266412309379,
CJ ENM,2015,0,,2308605389638.0,209654718318.0,112018538766.0,2988232404363,1638102960054,1350129444309,
CJ ENM,2016,0,,2208596188143.0,178880156479.0,32583105673.0,2753593503931,1390704879495,1362888624436,
CJ ENM,2017,0,,2260006796348.0,224481550757.0,143441965513.0,2801818454439,1317714354251,1484104100188,
CJ ENM,2018,0,,3426817049096.0,251016488622.0,184218974433.0,6754948264541,3329299954479,3425648310062,
CJ ENM,2019,0,,3789723949697.0,269385174265.0,58615849418.0,5434907587861,2283014093463,3151893494398,
CJ ENM,2020,0,,3391184002869.0,272067865192.0,65629506717.0,6279917456928,2494738813674,3785178643254,
CJ ENM,2021,0,,3552396542302.0,296876105378.0,227562448542.0,7940624818521,3737319022978,4203305795543,
CJ ENM,2022,0,,4792237788876.0,137375904912.0,-176815032777.0,10332246645583,5987918870682,4344327774901,
CJ ENM,2023,0,,4368360656512.0,-14600377588.0,-396774722680.0,9949859715419,5772095217523,4177764497896,
CJ ENM,2024,0,,5231360073502.0,104478244497.0,-580847429608.0,9316636930911,5638566211854,3678070719057,
CJ대한통운,2013,0,,3795045155647.0,64177360059.0,-60061093537.0,4608720686588,2360513240305,2248207446283,
CJ대한통운,2014,0,,4560087295134.0,167079481161.0,59451739573.0,4542856098587,2262195615779,2280660482808,
CJ대한통운,2015,0,,5055766403519.0,186633717812.0,48984004454.0,4500489063722,2128783996099,2371705067623,
CJ대한통운,2016,0,,6081945642204.0,228444490415.0,68210130933.0,5521193038772,2781927820952,2739265217820,
CJ대한통운,2017,0,,7110391207800.0,235651420434.0,38887844435.0,6308948690026,3526210931546,2782737758480,
CJ대한통운,2018,0,,9219680477069.0,242686925620.0,66600069013.0,7868566775246,4737828934873,3130737840373,
CJ대한통운,2019,0,,10415108625820.0,307186346174.0,50889855210.0,9110016110171,5454770837946,3655245272225,
CJ대한통운,2020,0,,10781127150206.0,325337561292.0,142623241320.0,9643498959607,5603556698067,4039942261540,
CJ대한통운,2021,0,,11343651787492.0,343880765667.0,158279696245.0,8993928516384,4977570577451,4016357938933,
CJ대한통운,2022,0,,12130712862374.0,411786887242.0,196821784424.0,9693299818264,5658991479602,4034308338662,
CJ대한통운,2023,0,,11767893663269.0,480234863157.0,242876054885.0,9357587266747,5314491023876,4043096242871,
CJ대한통운,2024,0,,12116761147160.0,530663067133.0,268320297629.0,9743855522383,5518255667581,4225599854802,
CJ제일제당,2013,0,,10847718244000.0,345479026000.0,71061595000.0,13004490092000,8191910984000,4812579108000,
CJ제일제당,2014,0,,11701797228000.0,579930251000.0,137851320000.0,13382531013000,8432650582000,4949880431000,
CJ제일제당,2015,0,,12924472295000.0,751413820000.0,253666762000.0,13751265058000,8366031773000,5385233285000,
CJ제일제당,2016,0,,14563257246000.0,843638184000.0,353548750000.0,15766238539000,9705761673000,6060476866000,
CJ제일제당,2017,0,,16477174023000.0,776575241000.0,412797743000.0,16868123895000,10724270560000,6143853335000,
CJ제일제당,2018,0,,18670059989000.0,832709680000.0,925388625000.0,19497022884000,12188810794000,7308212090000,
CJ제일제당,2019,0,,22352462296000.0,896857873000.0,191028303000.0,26280632351000,16799151931000,9481480420000,
CJ제일제당,2020,0,,24245725654000.0,1359551440000.0,786425538000.0,25611892185000,15445453188000,10166438997000,
CJ제일제당,2021,0,,26289227767000.0,1524429392000.0,892393213000.0,26855804277000,16049003859000,10806800418000,
CJ제일제당,2022,0,,30079513121000.0,1664708210000.0,802674084000.0,30013241845000,18484219204000,11529022641000,
CJ제일제당,2023,0,,29023472909000.0,1291582413000.0,559462096000.0,29606279551000,17826337301000,11779942250000,
CJ제일제당,2024,0,,29359081823000.0,1553017638000.0,361835555000.0,30149997467000,17907211781000,12242785686000,
DB손해보험,2021,1,금융_보험,,,872920123813.0,64751602573672,58019133909451,6732468664221,
DB손해보험,2022,1,금융_보험,,,2039482230002.0,57635178300728,45510911766472,12124266534256,
DB손해보험,2023,1,금융_보험,,,1742379224712.0,60040428590956,49736681327747,10303747263209,
DB손해보험,2024,1,금융_보험,,,1853216681744.0,66506135383633,57114913448969,9391221934664,
GS,2013,0,,9583193000000.0,552130000000.0,435199000000.0,12636266000000,5211722000000,7424544000000,
GS,2014,0,,10866131000000.0,-34328000000.0,-320729000000.0,15072770000000,7854856000000,7217914000000,
